Question,Answer
Which colleges offer the 14–16 programme?,"Banbury & Bicester College, Oxford College, Reading College, Guildford College and Merrist Wood College."
Question,Answer
Which colleges offer the 14–16 programme?,"Banbury & Bicester College, Oxford College, Reading College, Guildford College and Merrist Wood College."
What 14–16 programme subjects are available?,"Each college offers slightly different courses, but the main areas are Catering, Hair & Beauty, and Health & Social Care. Merrist Wood runs Animal Care (currently full for 2024/25 with a waiting list)."
Who is the 14–16 programme for?,"Young people aged 14–16 who are in school or home-educated, wanting a more mature, structured, supportive environment, either over Years 10–11 or starting in Year 11."
What are the benefits of a 14–16 programme?,"Engaging, motivating courses that build confidence, self-esteem, resilience and transferable skills in a safe, adult-style environment with experienced teachers fostering independence."
How long is the 14–16 programme?,We run both one-day-per-week and three-day-per-week study options.
Is there a cost for the 14–16 programme or financial help available?,Schools are invoiced directly. Home-educated students may access funding—contact Vicky Donnelly. No bursaries are available for 14–16 students.
Will GCSEs be studied on the 14–16 programme?,"No GCSE qualifications are awarded. However, the three-day programme includes support for English & Maths alongside vocational study."
How do I apply to the 14–16 programme?,Email 14-16@activatelearning.ac.uk to request a referral form. School-based applicants apply via their school; home-educated via their parent/carer. State your college and programme choice in your email.
What happens after application to the 14–16 programme?,"You’ll be invited to a taster session (parents welcome), or to open events/tours. If offered a place, you confirm funding, and we send consent forms to start in September."
What progression opportunities does the 14–16 programme offer?,Current 14–16 students can move onto our 16–18 FE courses via their tutor—no new application needed.
Who is the point of contact for the 14–16 programme?,"Vicky Donnelly, Programme Manager (Lifeskills Faculty) – email any questions to her directly."
When do I choose my A Level subjects in the timetabling session?,Early in August (exact dates TBC) during timetabling sessions—you’ll be emailed your session date and time. Initial preferences may be asked at application stage but are not final.
What if I can’t attend my A Level timetabling session?,Contact your faculty office as soon as possible to arrange an alternative session.
What if all A Level timetabling sessions have passed?,"After 30 August, contact the faculty to arrange a late session. Note that late booking may limit your subject choices (first-come, first-served)."
Can I apply for more or fewer than three A Level subjects?,"We recommend three subjects. If you wish to take more or fewer, please discuss with the A Level Faculty Manager at your chosen campus."
I’ve already completed A Levels—can I study more A Level subjects?,"Yes, but additional subjects may incur fees due to funding caps."
Can I start Access to HE Online if I don’t yet have my GCSE results?,"Yes, we accept predicted grades. If you fail GCSEs and must retake, you’ll be withdrawn but can re-enrol once passes are achieved. You need pass grades (or FS Level 2) in English & Maths for university entry."
What are the entry criteria for Access to HE Online?,"Level 2 pass (GCSE C/4 or FS L2) in English & Maths. Some courses require higher Maths (e.g. Science with Maths needs GCSE 6/B). If you lack one grade, you may take the corresponding GCSE Online alongside your Access course (campus-dependent)."
What are my funding options for Access to HE Online?,Adult Skills Fund (AEB) for 19–23s without a full Level 3; Advanced Learner Loan for 19+. EHCP-holders aged 19–24 may qualify for fee remission. All must live in England (postcodes checked).
What is an Advanced Learner Loan?,"An Advanced Learner Loan is a government-backed student loan that helps pay for Level 3 (and some Level 4) courses. You only repay it once you’re earning above the repayment threshold, and Access to HE loans may be written off if you later complete a higher education degree."
Am I eligible for an Advanced Learner Loan for an Access to HE Online course?,"You can apply if you: • Live in England and are a UK home student• Are aged 19–23 with a full Level 3 qualification, or aged 24+ regardless of prior qualifications• Have not already taken an Access to HE loan• Plan to study an Access to HE Online course."
Am I eligible for an Advanced Learner Loan for an on-campus course?,"You can apply if you: • Live in England and are a UK home student• Plan to study a Level 3 or 4 on-campus course not covered by other free funding (e.g. Lifetime Skills Guarantee)• Are aged 19–23 with a full Level 3 qualification, or aged 24+• Have taken ≤ 4 AL Loans."
How do I apply for an Advanced Learner Loan?,"1. Ask Student Services for your personalised “learner loan letter.”2. Use that letter to apply online at Student Finance England (studentfinance.gov.uk).3. Once your funding allocation is confirmed, we’ll update your records so you can enrol."
What happens to my Advanced Learner Loan after I finish a higher education course?,Any remaining loan balance for your Access to HE course will be written off by Student Finance England once you complete a recognised higher-education qualification.
How can I cancel my Advanced Learner Loan if I no longer need it?,"Contact the Student Loans Company directly to request cancellation. Let Student Services know, too, so we can remove the loan from your college records and adjust any enrolment codes."
What are apprenticeships at Activate Learning and how do they work?,"Earn-while-you-learn jobs combining on-the-job training with college attendance (1–2 days per week for English, Maths & IT). Programmes last 1–2 years and span 12 sectors (e.g. Automotive; Business; Childcare; Construction; Education; Engineering). Employers host the role; Activate Learning delivers the training."
Who can get a meal credit voucher?,"If you’ve been approved for meal credits or awarded a bursary, you’re eligible. If you’re waiting on paperwork or evidence, you can still pick up a one-off voucher—just bring in the required documents next time you’re on campus."
How do I collect my meal credit voucher?,"Pop by Student Services (or the designated desk) with your student lanyard. If your card has credits, it will top up automatically; if not, we’ll issue you a paper voucher on the spot."
What if my student card isn’t working at the printer?,No problem—let us know right away. We’ll issue you a paper voucher and send your card to IT (or the library) to get fixed so it works properly next time.
I’m waiting for my bursary application to be processed—can I still get food?,Yes. We’ll give you a voucher now; just make sure you bring in any outstanding evidence (e.g. award letter or proof of income) on your next visit so we can update your account.
I think I should have meal credits but don’t see them yet. What should I do?,"Let us know at the desk: we’ll log your query and check with the Bursaries team. In the meantime, we can issue you a temporary voucher so you’re not left hungry while we sort it out."
What if I’m not eligible for a voucher but really need help?,"Talk to our Admissions Manager or Student Support—they can advise on alternative help available (e.g. hardship fund, food bank links) so you always have access to meals on campus."
