Question,Answer
I can't log in to ALO. What should I do?,"Please follow the guidance on IT Information - Get Connected (https://activatelearningonline.instructure.com/courses/16473/), such as resetting your password. If you cannot access this page, or if these instructions do not work, please contact your tutor for support. They will be able to file a Service Desk ticket on your behalf."
How do I reset my password for ALO?,"If you have registered for the Office 365 Password Reset Tool, visit https://passwordreset.microsoftonline.com/ and follow the prompts. If you haven't registered or can't reset your password, contact your tutor to create a Password Reset Request via the Service Desk."
I just enrolled but can't see my courses on ALO. What should I do?,"It can take up to 48 hours from when you enrol for your ALO account to be fully set up with all your courses. If it has been longer than that, please contact your tutor, or the the Activate Learning contact centre at https://www.activatelearning.ac.uk/contact-us/"
My ALO dashboard is blank. Where are my courses?,"This is normal if you have just enrolled. Your ALO account setup can take up to 48 hours. If it’s been longer, please contact your tutor, or the Activate Learning contact centre at https://www.activatelearning.ac.uk/contact-us"
I can't find my timetable or next lesson. Where should I look?,"All Activate Learning students can find their timetables at My Targets: https://mytargets.activatelearning.ac.uk/. To access, open My Targets from the Student Toolkit, then select ""Custom Pages"" and ""My Timetable"" "
I get a message saying “Canvas does not have an account for this user”,"This is normal if you’ve just enrolled. Your ALO account may take up to 24 hours to be set up. If it’s been longer, contact the Activate Learning contact centre at https://www.activatelearning.ac.uk/contact-us"
I’m having trouble with multi-factor authentication (MFA).,"Guidance for setting up MFA is at https://activatelearningonline.instructure.com/courses/16473/pages/registering-college-account-for-multi-factor-authentication-mfa. If these instructions do not work, please contact your tutor for support. They can file a Service Desk ticket on your behalf"
How do I access ALO for the first time?,"You can sign in to ALO at https://activatelearningonline.instructure.com by using your college username and password provided in your welcome email. Your username will be [your student number]@activatelearning.ac.uk. If you haven't received your welcome email, please contact your tutor or the Activate Learning contact centre at https://www.activatelearning.ac.uk/contact-us"
How do I connect to the college Wi-Fi (eduroam)?,"To connect to the college Wi-Fi (eduroam), select ""eduroam"" from your device's Wi-Fi list. Enter your StudentID@activatelearning.ac.uk as the username and your college password. For iPhone/iOS, select ""Trust"" when prompted for a certificate. For Android, set the CA certificate to ""Don't Validate"" and enter your credentials. On Chromebook, enter your credentials and check ""Save identity and password."" For Windows 10, follow the prompts after entering your credentials. If you have issues, try restarting your device, forgetting the network and reconnecting, or resetting your password and trying again 1 ."
What should I do if I can't print or copy documents on campus?,"To print a document, sign into a campus PC and print to ""myprint-mono"" or ""myprint-colour"". Collect your printouts from a campus printer by logging in with your college credentials. For copying, log into the printer and select the copy option. Photocopying is charged at the same rate as printing."
